Names,voter_gender,age,caseType,caseFIR,location
Vam Vahadur Karki,1,56,Victim,FIR-2023-570,Dewas
Anurag . Shah,1,38,Criminal,FIR-2001-523,Sagar
clever tamaan,1,52,Criminal,FIR-2016-489,Sagar
Bramhadev  Paandit,1,49,Suspect,FIR-2015-249,Gwalior
Aash Tumbap,1,25,Suspect,FIR-2016-725,Gwalior
Vinay Thokkar,1,54,Witness,FIR-2000-493,Jabalpur
R. Thapa,0,59,Witness,FIR-2014-650,Dewas
Nirmala Thapa,0,49,Suspect,FIR-2018-271,Sagar
Sudip Chandra Raanaa,1,18,Criminal,FIR-2022-888,Indore
L. Damai,1,23,Victim,FIR-2002-728,Gwalior
Umesh . Mahato,1,53,Suspect,FIR-2016-793,Gwalior
Ran Khatri,1,42,Victim,FIR-2006-378,Jabalpur
Ramji  Chepaaaang,1,60,Victim,FIR-2020-643,Indore
Dhirendra Mann Joshi,1,32,Witness,FIR-2007-960,Bhopal
Ramharkh . Mallah,1,41,Witness,FIR-2009-847,Jabalpur
S. Gurung,0,43,Victim,FIR-2001-155,Ujjain
Sahir A. Mansuri,1,21,Witness,FIR-2007-155,Satna
Gopal Tel,1,45,Criminal,FIR-2021-466,Jabalpur
anshu  dev,1,29,Suspect,FIR-2015-495,Dewas
Devki Devi Mochi,0,23,Suspect,FIR-2009-822,Indore
Basu . Damai,0,60,Witness,FIR-2009-717,Bhopal
Amira Mandal,0,32,Suspect,FIR-2013-863,Bhopal
Rahul Aal,1,52,Victim,FIR-2016-413,Bhopal
Ruplal Caudary,1,18,Criminal,FIR-2011-929,Sagar
Jagat Karki,1,30,Witness,FIR-2022-169,Rewa
Dhana Vaam,0,20,Criminal,FIR-2018-343,Gwalior
Mithila  Choudhary,0,43,Victim,FIR-2013-795,Dewas
Dawa Dharke Sherpa,1,28,Victim,FIR-2000-372,Bhopal
Veer Taman,1,46,Criminal,FIR-2012-606,Sagar
sanjitani devi,0,19,Criminal,FIR-2009-733,Sagar
mohammed hussein,1,52,Witness,FIR-2005-695,Gwalior
Manju Bokati,0,32,Criminal,FIR-2019-837,Ujjain
D. Sapkota,0,38,Criminal,FIR-2006-810,Sagar
Man Niraul,0,19,Victim,FIR-2010-975,Dewas
Nim Bahkar,0,38,Suspect,FIR-2016-489,Gwalior
Shyam B. Thing,1,39,Criminal,FIR-2016-789,Indore
Asiya Mahat,0,20,Criminal,FIR-2011-957,Jabalpur
Hari Parihar,1,57,Victim,FIR-2021-180,Rewa
Saru Meht,0,56,Criminal,FIR-2012-866,Gwalior
Bhimkala Tapa,0,44,Criminal,FIR-2004-825,Indore
ahi maan syatangan,1,55,Witness,FIR-2021-412,Indore
suresh kumar shrestha,1,28,Suspect,FIR-2009-174,Bhopal
Jug Ram Tharu,1,43,Criminal,FIR-2001-525,Jabalpur
Krishna Prasad Pandit,1,40,Suspect,FIR-2015-191,Dewas
Bell Kami,0,49,Criminal,FIR-2011-777,Indore
shiva no,0,45,Witness,FIR-2000-946,Gwalior
Vudhani . D.Tharu,0,25,Victim,FIR-2007-865,Gwalior
Ishwar Bahadur Bhandari,1,23,Suspect,FIR-2023-125,Rewa
R. Mansoor,1,41,Witness,FIR-2022-389,Sagar
phurpasang sherpa,1,32,Criminal,FIR-2017-129,Rewa
M. Wali,0,19,Witness,FIR-2017-368,Sagar
Sima  V.K.,0,54,Suspect,FIR-2016-961,Satna
Sreejesh . Patel,1,56,Criminal,FIR-2011-216,Satna
Lokend Khadka Area,1,30,Witness,FIR-2006-939,Dewas
Sundari  Chowdhary,0,58,Criminal,FIR-2014-241,Satna
khatina  khaatun,0,45,Suspect,FIR-2023-840,Ujjain
Tasi Gyalvo Lama,1,20,Criminal,FIR-2013-934,Sagar
m. giri,0,39,Criminal,FIR-2011-187,Ujjain
Rahul Aale,1,18,Witness,FIR-2008-275,Bhopal
Sita Kumari Vikaas,0,26,Criminal,FIR-2024-490,Satna
Janak Vir Maagaar,1,60,Criminal,FIR-2015-828,Jabalpur
Saroj  Thaaru,1,41,Suspect,FIR-2000-451,Ujjain
T. Tamang,1,28,Criminal,FIR-2005-142,Bhopal
Tara Devi Choulagai,0,41,Witness,FIR-2023-233,Jabalpur
dinesh  majhi,1,55,Victim,FIR-2014-914,Gwalior
T. Bogti,1,45,Criminal,FIR-2019-967,Gwalior
Sandesh Maarjan,1,56,Suspect,FIR-2002-436,Bhopal
Pratap Budhathoki,1,39,Suspect,FIR-2010-246,Rewa
Pawan Devi,0,36,Victim,FIR-2015-823,Ujjain
Rina Mukhiya,0,49,Criminal,FIR-2002-993,Gwalior
D. Gurung,1,50,Victim,FIR-2024-402,Ujjain
little tailo,0,47,Victim,FIR-2006-468,Rewa
Pujan  Limbu,1,28,Victim,FIR-2012-866,Ujjain
Janki Vohr,0,46,Witness,FIR-2015-221,Ujjain
Hasmat Mia,1,48,Criminal,FIR-2023-194,Sagar
Rowaydan Khatun,0,34,Witness,FIR-2010-773,Indore
Thamkala  Thaapaa,0,47,Victim,FIR-2011-970,Bhopal
ram shrestha,1,57,Criminal,FIR-2010-374,Rewa
Indira . Baral(Bhattarai),0,36,Witness,FIR-2005-343,Satna
Pavitra  Bisht,0,46,Victim,FIR-2016-568,Sagar
Tulsi Suvedi,0,44,Witness,FIR-2008-394,Indore
Yuvraj Pant,1,39,Victim,FIR-2011-775,Dewas
Devkala eats,0,41,Criminal,FIR-2000-411,Satna
K. Kharel,0,40,Suspect,FIR-2023-107,Indore
Krishna Pandit,1,38,Victim,FIR-2013-924,Gwalior
Balram Parajuli,1,58,Victim,FIR-2008-654,Indore
Dipendra Yada,1,44,Suspect,FIR-2021-461,Indore
Min Prasad Rizal,1,52,Criminal,FIR-2010-129,Jabalpur
Phurwa Sherpa,0,48,Victim,FIR-2017-169,Dewas
T. Vudhathoki,0,38,Suspect,FIR-2024-545,Sagar
Dipendra Ol,1,18,Victim,FIR-2024-938,Dewas
Mohan Gurung,1,41,Criminal,FIR-2024-364,Ujjain
Maan Kshetri,1,29,Victim,FIR-2008-215,Bhopal
Nilalakshmi  Lama,0,56,Victim,FIR-2016-601,Ujjain
Radhika (Khatri,0,47,Suspect,FIR-2020-366,Sagar
Jaikoura  Sejuwal,0,52,Suspect,FIR-2018-911,Rewa
N. Pokhrel,1,39,Victim,FIR-2003-130,Indore
Netra Bahadur Kaauchaa,1,24,Criminal,FIR-2013-970,Satna
Chandra Thap,0,55,Witness,FIR-2008-793,Indore
Savin . Tiwari,1,40,Suspect,FIR-2014-425,Rewa
Dand P. Dhakal,1,28,Victim,FIR-2010-710,Jabalpur
Karan B. Khatri,1,27,Suspect,FIR-2003-504,Ujjain
Nar Visht,0,28,Witness,FIR-2017-727,Bhopal
Bal B. Sarki,1,33,Criminal,FIR-2000-901,Ujjain
Rajna  stopped,0,48,Criminal,FIR-2004-885,Ujjain
Indra Bahadur Thapa,1,31,Criminal,FIR-2016-257,Gwalior
Minu Rai,0,37,Criminal,FIR-2005-896,Jabalpur
Dhirendra Kumar Chaand,1,52,Victim,FIR-2015-380,Jabalpur
Pearl  Royal,0,49,Suspect,FIR-2008-714,Dewas
Hasna Shrestha,0,57,Witness,FIR-2022-640,Rewa
Surat Bahadur Khadka,1,51,Witness,FIR-2021-549,Rewa
Namraj Thapliya,1,36,Criminal,FIR-2021-869,Indore
mukesh sahani,1,30,Victim,FIR-2011-520,Satna
Dev Lohari,0,20,Criminal,FIR-2013-845,Ujjain
inu dungana,0,60,Criminal,FIR-2010-802,Rewa
Bronze Ram Goldsmith,1,19,Suspect,FIR-2002-983,Gwalior
Pujan Limb,1,54,Witness,FIR-2001-531,Gwalior
Durga Sharma Upaadhyaay,0,35,Witness,FIR-2020-754,Satna
Pawanraj  Daahaal,1,32,Suspect,FIR-2016-330,Satna
Vidya Gautam,0,54,Criminal,FIR-2021-275,Ujjain
Devi Coudary,0,24,Criminal,FIR-2011-531,Sagar
Ram B. Sharma,1,31,Witness,FIR-2007-117,Dewas
Prakash Bhatt,1,30,Suspect,FIR-2001-381,Bhopal
Vudhani D.Thar,0,52,Criminal,FIR-2020-376,Bhopal
Rajan Shresth,1,26,Witness,FIR-2009-193,Rewa
jeet b. rana,1,46,Criminal,FIR-2018-546,Rewa
Nilu Shresth,0,52,Witness,FIR-2008-201,Indore
ran away miss rana magar,0,23,Criminal,FIR-2023-586,Indore
Shelendra Sing,1,59,Victim,FIR-2012-859,Dewas
Jeevan Kumar Raai,1,47,Victim,FIR-2018-457,Dewas
Vimala Nuvia,0,32,Victim,FIR-2020-664,Ujjain
Sanjay K. Chowdhary,1,35,Witness,FIR-2008-437,Bhopal
Geeta . Koirala,0,37,Witness,FIR-2021-470,Indore
Rama . Chitrakar,0,46,Suspect,FIR-2013-166,Bhopal
Ramesh  Paaudel,1,28,Victim,FIR-2014-294,Indore
Lalpari Devi,0,42,Witness,FIR-2003-687,Dewas
suntali  goldsmith,0,50,Criminal,FIR-2015-121,Satna
govind prasad tamoli,1,43,Suspect,FIR-2020-818,Gwalior
Nirmala Kumari Yadav,0,36,Suspect,FIR-2019-371,Rewa
Sita Ram Mahara,1,35,Victim,FIR-2006-483,Indore
Navraj Paudel,1,20,Witness,FIR-2004-556,Dewas
Buddi Ouj,0,29,Criminal,FIR-2015-236,Rewa
vidya bandari,0,56,Victim,FIR-2000-284,Gwalior
R. Bogti,1,60,Suspect,FIR-2001-745,Dewas
Bhoj Bahadur Jirel,1,45,Witness,FIR-2000-659,Indore
Sikandra  Raut,1,59,Victim,FIR-2008-552,Indore
Preeti Rizal,0,53,Criminal,FIR-2013-764,Indore
Jhigun  Yaadaav,1,57,Victim,FIR-2020-376,Bhopal
prem k. yadav,0,25,Criminal,FIR-2013-497,Bhopal
Jaikoura . Sejuwal,0,35,Victim,FIR-2017-286,Sagar
Vijay Kumar Shah,1,39,Suspect,FIR-2006-988,Dewas
Kamla . Goldsmith,0,55,Suspect,FIR-2016-457,Satna
N. Gurung,1,29,Suspect,FIR-2005-887,Jabalpur
Riku  Daamaai,0,34,Criminal,FIR-2004-128,Rewa
Mahesh Prasad Shah,1,49,Suspect,FIR-2001-887,Dewas
Vishnu M. Aryal,0,43,Witness,FIR-2002-599,Rewa
Rigesh  Parki,1,21,Witness,FIR-2013-333,Dewas
Gajendra P. Chowdhary,1,40,Suspect,FIR-2020-737,Sagar
Jamun Sah Baniya,1,37,Suspect,FIR-2009-291,Bhopal
Rosita Choulagai,0,55,Witness,FIR-2001-882,Dewas
Samiksha  Thapaliia,0,35,Witness,FIR-2000-612,Indore
Dhirendra Lal -,1,33,Criminal,FIR-2018-631,Jabalpur
Laxman Chamar,1,40,Witness,FIR-2002-785,Gwalior
sumitra  shrestha,0,50,Suspect,FIR-2020-846,Jabalpur
refuge seeker,1,41,Victim,FIR-2016-727,Bhopal
Kumar Adhikari,1,34,Suspect,FIR-2014-528,Dewas
Matrzu Karki,0,31,Suspect,FIR-2006-644,Gwalior
Tunni Devi Choudhary,0,52,Victim,FIR-2013-986,Gwalior
Pukar  Maahaato,1,56,Suspect,FIR-2023-319,Rewa
Manju Pariyar Bardeva,0,42,Victim,FIR-2006-907,Bhopal
Nagendra Kara,1,31,Witness,FIR-2014-979,Dewas
Vijay K. Shah,1,39,Suspect,FIR-2003-744,Jabalpur
Tetri Devi Choudhaary,0,46,Victim,FIR-2007-532,Rewa
flower vishwakarma,0,45,Victim,FIR-2018-670,Sagar
D. Khatri,0,47,Victim,FIR-2004-335,Dewas
Chet Saru,1,39,Criminal,FIR-2022-587,Indore
Ruk Bahadur Rana,1,39,Victim,FIR-2003-641,Satna
Hukuma Pu,0,52,Victim,FIR-2010-378,Bhopal
S. Tamang,0,24,Victim,FIR-2018-859,Sagar
Raniwati Devi Das,0,18,Victim,FIR-2020-250,Rewa
P. Mandhara,0,31,Criminal,FIR-2013-383,Satna
R. Shrestha,0,35,Witness,FIR-2022-765,Rewa
Chari D. Oraon,0,43,Suspect,FIR-2005-623,Gwalior
Kiran  Chhantyal,1,27,Witness,FIR-2009-787,Rewa
Anita  Choudhari,0,26,Suspect,FIR-2024-164,Satna
Lal K. Budhathoki,0,43,Victim,FIR-2011-964,Gwalior
Basanti Rawa,0,19,Victim,FIR-2012-385,Jabalpur
Min Bhatt,1,58,Criminal,FIR-2018-459,Satna
Bhanubhakt  Paandey,1,22,Victim,FIR-2004-268,Rewa
Manoj Ra,1,46,Witness,FIR-2022-981,Rewa
B. Kami,0,36,Suspect,FIR-2019-288,Rewa
Sarmila Galan,0,53,Suspect,FIR-2021-730,Gwalior
Balkisni  Chowdhuri,0,31,Criminal,FIR-2020-778,Sagar
Bud . Nepali,0,24,Witness,FIR-2008-140,Bhopal
Umakant . Pokhrel,1,25,Suspect,FIR-2018-973,Sagar
Laxmi Ram Magar,1,43,Witness,FIR-2009-136,Jabalpur
Rajesh Kumar Tharu,1,45,Victim,FIR-2003-843,Sagar
Shyambabu Karki,1,21,Suspect,FIR-2008-171,Bhopal
ashish gautam,1,56,Witness,FIR-2017-298,Satna
Sonalal  Maahaato,1,55,Suspect,FIR-2013-944,Jabalpur
g. tamoli,1,18,Suspect,FIR-2010-114,Jabalpur
Chhavimaya Bhattarai,0,60,Suspect,FIR-2001-547,Rewa
R. Budhathoki,0,53,Victim,FIR-2007-328,Dewas
urmila shahi,0,23,Witness,FIR-2007-245,Satna
Purna Sark,1,25,Witness,FIR-2024-143,Ujjain
Krishna  Shah,1,30,Suspect,FIR-2003-334,Ujjain
N. Bhetuwal,0,48,Suspect,FIR-2008-521,Satna
Sumintra Devi Baadhi,0,41,Victim,FIR-2005-389,Satna
urmila sai,0,55,Suspect,FIR-2006-759,Jabalpur
padam bahadur taailor,1,47,Suspect,FIR-2007-275,Satna
padma rawa,0,35,Witness,FIR-2005-927,Indore
Jana  Rawat,0,50,Witness,FIR-2009-262,Rewa
basanta officer,0,29,Witness,FIR-2009-500,Bhopal
always move,1,56,Criminal,FIR-2000-777,Indore
Jai B. Ghimire,1,33,Suspect,FIR-2015-476,Ujjain
Ram Chowdhar,1,29,Witness,FIR-2023-526,Ujjain
Khirmi  Daamaai,0,49,Victim,FIR-2006-731,Dewas
Basanti . Singh,0,51,Victim,FIR-2017-296,Sagar
Murti Devi Sah,0,52,Witness,FIR-2018-382,Ujjain
Basu Damai,0,30,Suspect,FIR-2013-413,Gwalior
mohan kumari shrestha,0,37,Victim,FIR-2000-364,Dewas
Khime Pu,1,39,Victim,FIR-2008-439,Rewa
a. tharu,0,56,Criminal,FIR-2003-264,Sagar
Niranjan  Sigdel,1,35,Suspect,FIR-2013-495,Satna
spades brave steward,1,43,Victim,FIR-2008-405,Indore
Lale . Tamang,1,46,Suspect,FIR-2019-103,Indore
Laxmi . Shahi,0,31,Criminal,FIR-2018-399,Indore
S. Chourasiya,1,54,Victim,FIR-2007-420,Dewas
Wangdoma Sherpa,0,50,Criminal,FIR-2013-370,Rewa
Mangal S. Bohraa,1,48,Witness,FIR-2017-183,Satna
Bishnu Kumari Sharma Tiwari,0,26,Witness,FIR-2011-913,Rewa
Surendra Bajracharya,1,23,Criminal,FIR-2010-111,Jabalpur
Thugiram Chowdhary,1,35,Witness,FIR-2012-883,Bhopal
B. Magar,1,51,Witness,FIR-2008-774,Jabalpur
Pemu Katri,0,40,Witness,FIR-2023-287,Rewa
Netra Bahadur Kaucha,1,45,Suspect,FIR-2015-236,Satna
Dummer Saud,1,36,Criminal,FIR-2002-873,Dewas
Shaulendra  Vaataar,1,21,Suspect,FIR-2008-495,Ujjain
Kumari Tamang,0,20,Victim,FIR-2012-735,Rewa
Vam Shankar Yadav,1,54,Suspect,FIR-2014-150,Rewa
S. Limbu,0,34,Suspect,FIR-2017-776,Jabalpur
Dukh Coudary,1,37,Victim,FIR-2015-847,Jabalpur
Munna Devi Mishra,0,36,Victim,FIR-2022-258,Sagar
Dhan Bahadur Gurung,1,48,Criminal,FIR-2007-804,Sagar
R. Parihar,1,44,Suspect,FIR-2006-744,Satna
Pashupati T. Sris,1,33,Victim,FIR-2008-762,Satna
Shankhlal  Gaajmerkaami,1,20,Victim,FIR-2001-779,Satna
Bundia Chowdhar,0,39,Witness,FIR-2002-180,Sagar
Niru  Sapkota,0,18,Suspect,FIR-2002-190,Indore
Niruta Kumari Cooperative,0,33,Victim,FIR-2016-790,Indore
Ramesh Chand,1,47,Criminal,FIR-2006-705,Ujjain
Abdul Ansar,1,59,Criminal,FIR-2013-187,Jabalpur
Navraj  Paudel,1,40,Witness,FIR-2014-491,Indore
Vishwas . Chemjong,1,51,Criminal,FIR-2016-752,Jabalpur
Ganga Giri,0,60,Victim,FIR-2013-591,Indore
Hari P. Paudel,1,45,Victim,FIR-2024-543,Bhopal
Hasna Shresth,0,19,Victim,FIR-2008-571,Satna
Sunita . Dhakal,0,22,Witness,FIR-2010-998,Bhopal
Kamala Pokhrel Kshetriya,0,57,Criminal,FIR-2017-724,Ujjain
Indrakala Devi Yaadaav,0,45,Criminal,FIR-2002-305,Ujjain
Dipendra Yadav,1,32,Suspect,FIR-2010-718,Jabalpur
P. Tharu,1,58,Witness,FIR-2011-780,Rewa
Bhadra . Basnet,0,42,Victim,FIR-2017-340,Satna
N. B.K.,1,40,Suspect,FIR-2010-134,Indore
Pohal Sin Nepali,1,35,Suspect,FIR-2013-652,Ujjain
Vishnu Maji,1,42,Criminal,FIR-2019-683,Rewa
Lal Khatr,1,46,Criminal,FIR-2019-108,Sagar
Shraddha Devi Pasman,0,57,Victim,FIR-2007-798,Rewa
princess rajvansi,0,44,Witness,FIR-2008-780,Rewa
Chandra Bahadur Bogti,1,31,Victim,FIR-2006-442,Bhopal
Punia  Dagourni,0,48,Suspect,FIR-2009-921,Sagar
Wal Chan,0,37,Victim,FIR-2015-328,Indore
Dammar Bisht,1,55,Suspect,FIR-2012-229,Bhopal
Rameshwari Kumari Bogti,0,31,Witness,FIR-2004-646,Indore
Sunira Visht,0,27,Witness,FIR-2007-949,Bhopal
B. Kami,0,28,Victim,FIR-2014-301,Satna
Rekha K. Rajvanshi,0,52,Suspect,FIR-2008-194,Dewas
amrita sunhar,0,50,Suspect,FIR-2006-243,Jabalpur
Ratan Debi Kumal,0,30,Criminal,FIR-2018-685,Satna
Nilima Adhikari,0,24,Suspect,FIR-2011-978,Indore
Dilip  Paaijaa,1,43,Criminal,FIR-2007-596,Gwalior
Shesav Kumar Vermaa,1,36,Suspect,FIR-2024-944,Rewa
Rekha Kumari Thapa,0,48,Witness,FIR-2023-918,Ujjain
Lalita  Choudhari,0,33,Criminal,FIR-2022-558,Bhopal
Devi Prasad Choulagai,1,25,Witness,FIR-2002-917,Satna
Babu Raja Maahaarjaan,1,56,Suspect,FIR-2009-194,Jabalpur
S. Pasman,0,27,Witness,FIR-2010-820,Dewas
Achyut R. Khanal,1,50,Witness,FIR-2014-281,Rewa
s. goldsmith,0,49,Victim,FIR-2003-554,Indore
Vijay . Ghalan,1,31,Witness,FIR-2016-933,Rewa
D. Sud,1,26,Witness,FIR-2003-238,Rewa
Shiv Kumar Yaadaav,1,48,Victim,FIR-2007-658,Bhopal
Roshan  Bhaandaari,1,26,Suspect,FIR-2012-507,Bhopal
Sushmita Gurung,0,54,Victim,FIR-2014-573,Indore
run ganes,1,28,Criminal,FIR-2020-195,Indore
Shushil K. Mahato,1,38,Victim,FIR-2023-522,Bhopal
padam tailor,1,47,Suspect,FIR-2012-792,Satna
Sreejesh Patel,1,24,Suspect,FIR-2000-821,Ujjain
Balram . Parajuli,1,23,Victim,FIR-2007-596,Gwalior
Uttam Ghimir,1,27,Criminal,FIR-2006-182,Ujjain
Dhan B. Sunuwar,1,39,Criminal,FIR-2019-666,Satna
Vinita  Thaapaa,0,60,Witness,FIR-2006-765,Gwalior
Chando K. Mandal,0,20,Victim,FIR-2018-952,Jabalpur
Murli  Sawat,0,55,Witness,FIR-2002-482,Indore
Sima Kurm,0,33,Victim,FIR-2012-714,Satna
Pampha  Gaautaam,0,44,Victim,FIR-2019-817,Bhopal
Prakash Dutt Bhatt,1,42,Witness,FIR-2012-857,Satna
Yam Kumari Darai,0,28,Witness,FIR-2010-862,Dewas
Vudhani D.Tharu,0,51,Witness,FIR-2000-784,Sagar
Gopal Thapa,1,41,Witness,FIR-2016-918,Indore
Suku Sintan,0,25,Criminal,FIR-2019-562,Gwalior
Sita R. Khanal,1,34,Victim,FIR-2008-453,Sagar
Amwar B. Pradhan,1,39,Criminal,FIR-2005-680,Ujjain
B. V.K.,0,23,Witness,FIR-2017-796,Gwalior
U. (Thapa),0,25,Suspect,FIR-2016-180,Gwalior
Urmila Devi,0,39,Victim,FIR-2003-950,Ujjain
Pratap  Budhathoki,1,50,Witness,FIR-2019-135,Gwalior
Radheshyam . Shepherd,1,19,Suspect,FIR-2012-412,Indore
Bundia Cowdary,0,54,Witness,FIR-2008-880,Rewa
K. Tamang,1,59,Witness,FIR-2020-501,Satna
China Thin,0,36,Suspect,FIR-2024-795,Satna
Bhakta Ra,1,29,Witness,FIR-2022-146,Dewas
m. hussein,1,23,Criminal,FIR-2015-165,Satna
remember  tharu,0,31,Criminal,FIR-2006-816,Gwalior
maina  taamaang,0,41,Criminal,FIR-2002-420,Jabalpur
G. Sunar,1,48,Witness,FIR-2001-999,Ujjain
B. Khadka,0,20,Criminal,FIR-2002-858,Bhopal
Sahabati D. Sutihar,0,19,Criminal,FIR-2017-797,Sagar
w. tamang,0,58,Criminal,FIR-2000-573,Dewas
Umeshwar Rai Yadav,1,44,Suspect,FIR-2008-711,Rewa
Purna S. Sarki,1,47,Victim,FIR-2002-265,Indore
kanchi tamaan,0,22,Suspect,FIR-2008-829,Rewa
Ganga Maya Laamaa,0,42,Victim,FIR-2023-862,Jabalpur
Bhagwati  Khaatri,0,59,Suspect,FIR-2007-787,Dewas
jhummaya  raanaa,0,23,Victim,FIR-2022-164,Satna
D. Khatri,1,49,Suspect,FIR-2005-497,Indore
Laxmi Bhatt,0,43,Criminal,FIR-2009-741,Sagar
manju  tharu,0,42,Criminal,FIR-2010-993,Satna
Sulekha Kumari Yaadaav,0,56,Criminal,FIR-2024-842,Jabalpur
उपर्पया  पैरियार,0,45,Witness,FIR-2000-769,Rewa
Navraj (Goche,1,41,Victim,FIR-2010-218,Satna
Bajire . Aouji,1,37,Suspect,FIR-2009-370,Gwalior
Ganga Raut,0,46,Victim,FIR-2015-634,Satna
s. thapa,0,37,Criminal,FIR-2008-317,Satna
Kausila Kam,0,36,Witness,FIR-2018-880,Jabalpur
Sushil  Yaadaav,1,49,Criminal,FIR-2015-237,Jabalpur
Nur Jahan Khatun,0,24,Victim,FIR-2016-792,Jabalpur
S. Ghimire,1,35,Witness,FIR-2014-745,Bhopal
Laxmi Devi,0,41,Victim,FIR-2000-797,Ujjain
mind old,0,33,Suspect,FIR-2017-135,Ujjain
Pradeep Maga,1,43,Criminal,FIR-2012-450,Jabalpur
Chandra Kala Baral,0,26,Victim,FIR-2018-223,Dewas
Bhagwati Bohra,0,24,Victim,FIR-2008-242,Sagar
S. Ghale,1,35,Suspect,FIR-2023-229,Rewa
Seti Khatri,0,24,Witness,FIR-2024-357,Rewa
Hridaya Kumari Saangraaulaa,0,53,Suspect,FIR-2021-833,Sagar
Chandra K. Bhandari,0,23,Criminal,FIR-2004-104,Jabalpur
usha  kaafle,0,43,Witness,FIR-2018-127,Satna
Sandhya . Raut,0,40,Witness,FIR-2003-922,Bhopal
Sandeep  Gaautaam,1,54,Victim,FIR-2000-210,Bhopal
Sunita . Chowdhary,0,52,Criminal,FIR-2021-699,Dewas
Pohal Nepal,1,38,Criminal,FIR-2001-264,Rewa
Shiv K. Shrestha,1,52,Witness,FIR-2024-187,Ujjain
Hari Lal Sarki,1,25,Victim,FIR-2000-488,Dewas
Pema Renze Sherpaa,1,59,Witness,FIR-2001-335,Ujjain
Ganesh Bahadur Baam,1,22,Suspect,FIR-2020-884,Ujjain
Feroz Shesh,1,55,Victim,FIR-2008-620,Indore
Ram Thar,1,34,Suspect,FIR-2023-938,Bhopal
Rosie Sresta,0,53,Witness,FIR-2022-764,Satna
P. South,0,29,Criminal,FIR-2015-688,Gwalior
Yasoda  Nepaal,0,39,Criminal,FIR-2012-641,Sagar
Krishna Thap,1,52,Witness,FIR-2021-610,Jabalpur
Saraswati Goldsmith,0,33,Criminal,FIR-2005-407,Gwalior
Sita . Gajurel,0,47,Criminal,FIR-2012-533,Gwalior
Gyanu K.C.,0,21,Criminal,FIR-2001-189,Sagar
K. Bohra,1,19,Witness,FIR-2017-925,Sagar
rajendra goldsmith,1,59,Victim,FIR-2005-152,Satna
Surjamuni . Tajpuria,0,29,Witness,FIR-2014-521,Indore
khima budathoki,0,42,Suspect,FIR-2020-534,Jabalpur
long illusion but,0,23,Criminal,FIR-2022-157,Indore
Umesh  Shrestha,1,29,Witness,FIR-2014-431,Ujjain
Ram Gaa,1,55,Victim,FIR-2004-426,Gwalior
Top Bogt,1,47,Criminal,FIR-2012-594,Bhopal
Bimla Suved,0,20,Witness,FIR-2011-943,Jabalpur
Silo Goldsmit,1,46,Witness,FIR-2012-677,Bhopal
Radhika  Vaadaailaa,0,37,Victim,FIR-2001-669,Satna
Prabha Basnet,0,60,Victim,FIR-2000-554,Indore
charity brave vishwaakaarmaa,1,30,Witness,FIR-2020-676,Gwalior
Suruj Kaar,1,26,Suspect,FIR-2007-639,Ujjain
spades steward,1,21,Witness,FIR-2009-209,Ujjain
Kavita Gurung,0,28,Witness,FIR-2012-135,Dewas
Gyan Bahadur Kaalung,1,38,Suspect,FIR-2005-147,Ujjain
Damanti  K.C.,0,53,Witness,FIR-2008-579,Dewas
Ram Karan Ojha,1,21,Victim,FIR-2000-736,Bhopal
S. Rishidev,1,31,Criminal,FIR-2023-439,Dewas
Krishna Nandan Pal,1,24,Victim,FIR-2021-212,Rewa
Kausila Kami,0,49,Victim,FIR-2022-559,Satna
Sita . Chowdhary,0,32,Criminal,FIR-2020-344,Bhopal
K. Aryal,1,58,Victim,FIR-2024-367,Satna
ahi syatangan,1,37,Suspect,FIR-2016-904,Ujjain
D. Shrestha,1,47,Criminal,FIR-2005-622,Rewa
p. singer,0,29,Suspect,FIR-2012-495,Bhopal
R. Gautam,1,52,Victim,FIR-2019-123,Dewas
Jai Bahadur Ghimire,1,34,Criminal,FIR-2018-989,Bhopal
Hiramaya Tamang,0,43,Suspect,FIR-2018-539,Ujjain
Pradeep Magar,1,29,Witness,FIR-2001-112,Gwalior
Basanti Sing,0,38,Witness,FIR-2024-281,Ujjain
Shyam Maya Maahaarjaan,0,40,Criminal,FIR-2005-475,Jabalpur
Sita  Tamang,0,38,Criminal,FIR-2003-881,Dewas
h. lohar,1,59,Criminal,FIR-2003-772,Satna
Tabassum . Khatun,0,46,Victim,FIR-2014-613,Gwalior
ceremonial dhakal,0,53,Witness,FIR-2001-920,Jabalpur
j. butcher,0,33,Criminal,FIR-2019-253,Rewa
Sriram Balami,1,32,Criminal,FIR-2001-966,Jabalpur
Puja K. Raut,0,30,Criminal,FIR-2007-502,Ujjain
abu mohammed shesh,1,26,Suspect,FIR-2005-493,Ujjain
Dilip B. Bam,1,21,Criminal,FIR-2021-619,Dewas
Kul Bahadur Tamang,1,34,Witness,FIR-2016-348,Gwalior
satya mahato,1,34,Witness,FIR-2005-373,Dewas
Ram Chandra Mahato Koiri,1,22,Victim,FIR-2012-496,Jabalpur
Manita Karki,0,60,Witness,FIR-2014-458,Satna
Omprakash Choudhary,1,19,Witness,FIR-2018-391,Jabalpur
Sikandra  Raaut,1,50,Criminal,FIR-2005-640,Sagar
Shiv Suryavansh,0,43,Witness,FIR-2002-825,Dewas
Hari Bahadur Gurung,1,26,Criminal,FIR-2012-384,Ujjain
image lal gurung,1,36,Witness,FIR-2009-697,Gwalior
